Unnamed: 0,Unnamed: 1,Unnamed: 2,Date,Time,Lane,Speed,Length,Headway,Gap,Class,Occupancy,Vehicle Count,Headway_Mean,Headway_Mean_Hours,Q (veh/h),Speed Inverse,,,,,
,,,20240728,3034.4,3,106,5.03,36.3,36.04,4,170,20,28.95,0.008041667,124.3523316,0.009433962,,,,,
,,,20240728,3036.3,3,78,5.19,1.9,1.73,2,239,20,28.95,0.008041667,124.3523316,0.012820513,,,,,
,,,20240728,3136.7,3,50,4,60.4,60.16,2,288,20,28.95,0.008041667,124.3523316,0.02,,,,,
,,,20240728,3202.4,3,103,4.5,25.7,25.41,2,157,20,28.95,0.008041667,124.3523316,0.009708738,,,,,
,,,20240728,3214.5,3,92,5.27,12.1,11.94,2,206,20,28.95,0.008041667,124.3523316,0.010869565,,,,,
,,,20240728,3215.7,2,93,3.83,115.2,115.03,2,148,20,28.95,0.008041667,124.3523316,0.010752688,,,,,
,,,20240728,3219.8,3,82,3.83,5.3,5.09,2,168,20,28.95,0.008041667,124.3523316,0.012195122,,,,,
,,,20240728,3224.9,2,95,3.99,9.2,9.05,2,151,20,28.95,0.008041667,124.3523316,0.010526316,,,,,
,,,20240728,3231.4,3,95,4.5,11.6,11.43,4,170,20,28.95,0.008041667,124.3523316,0.010526316,,,,,
,,,20240728,3236.8,2,123,5.29,11.9,11.75,2,154,20,28.95,0.008041667,124.3523316,0.008130081,,,,,
,,,20240728,3244.6,3,121,1.35,13.2,13.03,1,40,20,28.95,0.008041667,124.3523316,0.008264463,,,,,
,,,20240728,3300.9,3,99,2.47,16.3,16.26,1,89,20,28.95,0.008041667,124.3523316,0.01010101,,,,,
,,,20240728,3314.8,3,73,4.4,13.9,13.81,2,216,20,28.95,0.008041667,124.3523316,0.01369863,,,,,
,,,20240728,3329.5,2,116,3.63,52.7,52.55,2,112,20,28.95,0.008041667,124.3523316,0.00862069,,,,,
,,,20240728,3330.2,3,55,4.71,15.4,15.18,2,308,20,28.95,0.008041667,124.3523316,0.018181818,,,,,
,,,20240728,3405.8,2,71,5.09,36.3,36.19,2,258,20,28.95,0.008041667,124.3523316,0.014084507,,,,,
,,,20240728,3407.2,2,60,4.65,1.4,1.14,2,279,20,28.95,0.008041667,124.3523316,0.016666667,,,,,
,,,20240728,3416.2,3,64,3.8,46,45.69,2,213,20,28.95,0.008041667,124.3523316,0.015625,,,,,
,,,20240728,3443.7,3,57,5.04,27.5,27.29,2,318,20,28.95,0.008041667,124.3523316,0.01754386,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,20240728,3502.9,2,111,4.63,55.7,55.42,4,150,22,26.88636364,0.007468434,133.8968724,0.009009009,,,,,
,,,20240728,3529.5,2,117,5.39,26.6,26.45,2,165,22,26.88636364,0.007468434,133.8968724,0.008547009,,,,,
,,,20240728,3535,3,87,3.69,51.3,50.98,2,152,22,26.88636364,0.007468434,133.8968724,0.011494253,,,,,
,,,20240728,3608,3,85,3.97,33,32.85,2,168,22,26.88636364,0.007468434,133.8968724,0.011764706,,,,,
,,,20240728,3639.6,3,86,1.19,31.6,31.43,1,49,22,26.88636364,0.007468434,133.8968724,0.011627907,,,,,
,,,20240728,3659.8,2,90,5.02,90.3,90.13,4,200,22,26.88636364,0.007468434,133.8968724,0.011111111,,,,,
,,,20240728,3710.1,3,88,2.21,30.5,30.45,1,90,22,26.88636364,0.007468434,133.8968724,0.011363636,,,,,
,,,20240728,3718.2,3,62,3.99,8.1,8.01,2,231,22,26.88636364,0.007468434,133.8968724,0.016129032,,,,,
,,,20240728,3742.6,3,77,4.03,24.4,24.17,2,188,22,26.88636364,0.007468434,133.8968724,0.012987013,,,,,
